"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"R2403,R301,R2406,R302,R2404,R303,R2405";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";7;"10k";;;
2;"R2402,R2401";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"2R";;;
3;"R2304,R2305";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1k";;;
4;"D2301,D2302";"D_SMA-SMB_Universal_Handsoldering";2;"SM4007";;;
5;"D2403,D2404,D2401,D2402";"D_SMA-SMB_Universal_Handsoldering";4;"SS54";;;
6;"R2303";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"180K";;;
7;"R2302,R2301";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"220R";;;
8;"U2401";"SOIC-14_3.9x8.7mm_P1.27mm";1;"LM339";;;
9;"U2501";"SOIC-14_3.9x8.7mm_P1.27mm";1;"74HC02";;;
10;"C2301";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"47uF";;;
